Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,abusiveness,politeness,threat_level
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0.013545036315917969,0.8037410378456116,0.7368131875991821
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0.9921547770500183,0.8867800831794739,0.5188333988189697
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0.9921839833259583,0.9516064524650574,0.9982941746711731
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0.9899208545684814,0.8842237591743469,0.8317698836326599
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,0.9921925663948059,0.8692256212234497,0.9696111083030701
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",0.9921842217445374,0.9657621383666992,0.9976377487182617
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0.9921950101852417,0.9414458274841309,0.9915146827697754
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0.9922834038734436,0.9485903978347778,0.978671133518219
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,0.9922446608543396,0.880691647529602,0.9762337803840637
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",0.9922785758972168,0.9186475276947021,0.913724422454834
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0.9920686483383179,0.8824560046195984,0.9864683151245117
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,0.9919495582580566,0.9492186903953552,0.9780135154724121
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",0.9921700358390808,0.9352524280548096,0.9313822388648987
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,0.9921047687530518,0.9335949420928955,0.9608285427093506
14,3,1,2,0,1,""" bitch get up off me """,0.992135763168335,0.9289394021034241,0.9960777163505554
15,3,0,3,0,1,""" bitch nigga miss me with it """,0.9920142292976379,0.926571249961853,0.995214581489563
16,3,0,3,0,1,""" bitch plz whatever """,0.9921912550926208,0.9454811811447144,0.9898703694343567
17,3,1,2,0,1,""" bitch who do you love """,0.99189293384552,0.9163744449615479,0.9896626472473145
18,3,0,3,0,1,""" bitches get cut off everyday B """,0.9922175407409668,0.9574040770530701,0.99566251039505
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,0.9921965599060059,0.9043887257575989,0.976972222328186
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,0.9919805526733398,0.9369350075721741,0.9900274872779846
21,3,0,3,0,1,""" cancel that bitch like Nino """,0.9921380877494812,0.9344290494918823,0.9936400055885315
22,3,0,3,0,1,""" cant you see these hoes wont change """,0.9916834831237793,0.9445746541023254,0.3569355010986328
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0.9922605156898499,0.9255519509315491,0.9981325268745422
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",0.9921931624412537,0.8905722498893738,0.9848881959915161
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",0.9921289682388306,0.808275580406189,0.976298987865448
26,3,0,3,0,1,""" hoe what its hitting for """,0.9915299415588379,0.8733069896697998,0.0019635320641100407
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",0.9922642707824707,0.8814796209335327,0.9821234345436096
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,0.9921715259552002,0.9058805704116821,0.9978815913200378
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,0.9912147521972656,0.9418200254440308,0.9721068143844604
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,0.9922541379928589,0.868466317653656,0.9977752566337585
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",0.9922274947166443,0.7876781225204468,0.788789689540863
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,0.9921405911445618,0.9476190209388733,0.9947658777236938
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,0.9915488958358765,0.9005244970321655,0.9942252039909363
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0.9918638467788696,0.887866199016571,0.9160952568054199
35,3,0,3,0,1,""" is that ya bitch """,0.9918736815452576,0.9317644238471985,0.9916428327560425
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,0.9922031164169312,0.8958803415298462,0.9858927130699158
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",0.9922512173652649,0.9273834228515625,0.9973948001861572
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,0.9915492534637451,0.8829939961433411,0.47851428389549255
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,0.9917438626289368,0.9040834307670593,0.056101370602846146
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,0.9918906688690186,0.884544312953949,0.9564992189407349
